ไฟล์เสียง	จำนวนผู้พูด	ความยาว(s)	เวลาที่ใช้ดำเนินการ	ความเร็วในการดำเนินการ
recording_2025-10-10_10-05-37.wav	2	109.83	36.43	3.01x
recording_2025-10-10_10-24-18.wav	2	93.04	37.53	2.48x
recording_2025-10-10_10-46-59.wav	2	3.41	1.46	2.34x
recording_2025-10-10_11-24-57.wav	3	303.74	113.35	2.68x
recording_2025-10-10_12-53-10.wav	2	248.64	100.35	2.48x
recording_2025-10-10_13-48-21.wav	2	184.62	72.22	2.56x
recording_2025-10-10_14-04-29.wav	3	150.56	51.09	2.95x
recording_2025-10-10_14-27-17.wav	2	94.99	33.56	2.83x
recording_2025-10-10_15-52-05.wav	2	409.23	158.08	2.59x
recording_2025-10-13_09-37-00.wav	0	110.99	6.35	17.48x
recording_2025-10-13_09-55-19.wav	0	430.61	31.01	13.89x
recording_2025-10-13_10-30-58.wav	3	238.28	99.21	2.40x
recording_2025-10-13_10-39-53.wav	2	120.65	45.42	2.66x
recording_2025-10-13_10-44-49.wav	3	125.48	42.14	2.98x
recording_2025-10-13_12-07-46.wav	12	570.24	208.65	2.73x
recording_2025-10-13_13-03-27.wav	4	352.78	122.94	2.87x
recording_2025-10-13_16-03-42.wav	2	83.13	26.80	3.10x
recording_2025-10-13_16-19-36.wav	5	320.13	120.34	2.66x
recording_2025-10-13_18-08-52.wav	2	123.44	42.80	2.88x
recording_2025-10-14_09-25-51.wav	4	274.62	97.44	2.82x
recording_2025-10-14_09-30-39.wav	2	156.97	50.95	3.08x
recording_2025-10-14_09-53-14.wav	5	94.99	26.87	3.53x
recording_2025-10-14_09-59-38.wav	0	0.19	0.48	0.39x
recording_2025-10-14_10-12-51.wav	2	191.03	56.36	3.39x
recording_2025-10-14_11-02-52.wav	2	193.40	59.63	3.24x
recording_2025-10-14_13-30-34.wav	4	216.46	71.48	3.03x
recording_2025-10-14_14-57-34.wav	5	259.37	94.09	2.76x
recording_2025-10-14_15-13-44.wav	2	151.51	52.46	2.89x
recording_2025-10-14_16-12-16.wav	7	512.56	188.20	2.72x
recording_2025-10-15_09-42-05.wav	2	180.02	61.65	2.92x
recording_2025-10-15_10-20-06.wav	3	87.68	31.51	2.78x
recording_2025-10-15_10-37-03.wav	3	234.75	83.02	2.83x
recording_2025-10-15_10-45-49.wav	5	234.89	82.11	2.86x
recording_2025-10-15_10-51-23.wav	2	62.95	18.13	3.47x
recording_2025-10-15_15-26-13.wav	4	313.72	112.75	2.78x
recording_2025-10-15_16-01-23.wav	3	112.38	37.64	2.99x
recording_2025-10-18_09-07-36.wav	0	145.75	5.43	26.85x
recording_2025-10-18_09-10-13.wav	0	128.62	4.51	28.54x
recording_2025-10-18_09-10-19.wav	0	0.67	0.44	1.53x
recording_2025-10-18_10-31-55.wav	0	65.71	2.42	27.13x
recording_2025-10-18_10-36-57.wav	0	234.78	8.14	28.83x
recording_2025-10-18_10-43-16.wav	0	170.04	4.88	34.85x
recording_2025-10-18_11-27-24.wav	0	208.10	6.82	30.51x
recording_2025-10-18_12-04-08.wav	0	171.32	4.81	35.59x
recording_2025-10-18_16-37-29.wav	0	309.68	10.47	29.59x
